timestamp,open,high,low,close,volume
2019-05-08,25.0300,25.4300,24.8400,24.8500,1897638
2019-05-07,25.6100,25.7200,25.0000,25.1800,4019651
2019-05-06,25.9500,26.0000,25.2800,25.9100,4081509
2019-05-03,26.2300,26.8300,26.0500,26.6800,3376187
2019-05-02,25.8800,26.3800,25.7190,25.9300,2917145
2019-05-01,26.7000,27.1000,25.9800,26.0000,3682363
2019-04-30,26.7100,27.0200,26.3700,26.6800,3269968
2019-04-29,26.8200,26.9400,26.4800,26.8500,2298626
2019-04-26,27.0500,27.2500,26.8400,26.9100,2257674
2019-04-25,28.0400,28.0400,27.0100,27.1100,3153435
2019-04-24,28.4900,28.5400,27.7500,28.1200,3391188
2019-04-23,28.0800,28.9200,28.0800,28.5300,4784786
2019-04-22,26.5200,28.2400,26.5200,28.1400,6241169
2019-04-18,27.3600,27.4100,25.7100,26.6600,9476158
2019-04-17,27.9800,28.5900,27.6700,27.7200,5015985
2019-04-16,27.8000,27.9600,27.4000,27.7200,4094310
2019-04-15,28.3800,28.4000,27.5700,27.7400,4164840
2019-04-12,28.9000,29.2000,28.2500,28.2900,2752760
2019-04-11,28.8500,29.1100,28.3000,28.4900,3409943
2019-04-10,29.2100,29.3400,28.8800,29.1500,2598120
2019-04-09,29.3800,29.5000,28.9300,29.1000,2355477
2019-04-08,29.5500,29.7300,29.3200,29.6600,2375490
2019-04-05,29.4000,29.6900,29.0900,29.5500,3018557
2019-04-04,28.6000,29.3400,28.3800,29.2900,2654923
2019-04-03,28.4500,28.8700,28.3100,28.6900,4678230
2019-04-02,29.1300,29.2900,28.1800,28.5400,3838794
2019-04-01,28.6800,29.6700,28.5300,29.4600,3880402
2019-03-29,28.2800,28.8000,28.0100,28.1600,3382533
2019-03-28,28.0500,28.0500,27.3850,27.9900,2553095
2019-03-27,27.9000,27.9850,27.2200,27.9100,2523325
2019-03-26,28.1400,28.5000,27.2700,27.5400,4287196
2019-03-25,28.1200,28.5600,27.7700,28.0200,2871122
2019-03-22,29.1000,29.2700,27.8000,28.1200,3356052
2019-03-21,28.5400,29.5300,28.5000,29.4100,3234813
2019-03-20,28.5000,29.1200,27.6900,28.7900,3381804
2019-03-19,29.0300,29.3200,28.4900,28.6200,2459658
2019-03-18,28.0000,28.8600,27.9267,28.6400,3522157
